BlockId,EventSequence,Label,SequenceLength
blk_340854666767346657,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '728076ac', '40651754', 'bbb51b95', '5d5de21c', '9c784e29', '44614d71', '5d5de21c', 'dba996ef', '4dec0816']",Anomaly,21
blk_5041202061128915005,"['bbb51b95', '3d91fa85']",Anomaly,2
blk_-7525880567117049372,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_-7668774178123560146,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Normal,13
blk_-3911166476566899551,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', '0567184d', '0567184d', '0567184d', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '728076ac', '5d5de21c', '40651754', 'bbb51b95', '44614d71', '9c784e29', '5d5de21c', 'dba996ef', '4dec0816']",Anomaly,24
blk_-1999301527305082358,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'a333d363', '4dec0816', 'a333d363']",Normal,16
blk_-5737525800544546511,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '4dec0816']",Normal,14
blk_-4318702706588002404,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '4dec0816']",Normal,14
blk_-157357857026929660,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'c294d20f', '5d5de21c', '32777b38']",Anomaly,15
blk_-2662417398193586275,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', '0567184d', 'd38aa58d', '46003790', '0567184d', 'd38aa58d', '46003790', '0567184d', 'd38aa58d', '46003790', '4dec0816']",Anomaly,17
blk_846799110102141742,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_7107340026250458253,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_-2134795351658315281,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Normal,13
blk_7818924753936381970,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '32777b38']",Normal,14
blk_-785179847675167436,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c']",Normal,13
blk_8892637456908782715,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_-722564071268939500,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'a333d363']",Normal,14
blk_8064332498933431409,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_-5337994755640289830,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '32777b38', '32777b38', 'a333d363', 'a333d363', '4dec0816']",Anomaly,18
blk_-8022522760077409920,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Anomaly,13
blk_5831190136360816963,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_-3941153900006219579,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_8199550931573381828,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c', '32777b38']",Anomaly,14
blk_8014635294688388136,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_-8799897790928022485,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_-6515916707854344269,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bcc910df']",Anomaly,4
blk_1835336280903617668,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'a333d363', '4dec0816']",Normal,15
blk_-5557707602117316807,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_4378307922128301229,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bcc910df']",Anomaly,4
blk_-354186518463347064,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c']",Normal,13
blk_8466437472343045122,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_4639125578448119006,"['3d91fa85', 'bbb51b95']",Anomaly,2
blk_4817801824554095274,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Normal,13
blk_-6958826407448569161,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_8695369165312104323,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_-2276466771376002171,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Normal,13
blk_9085967344169486025,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_-5476544405411015862,"['bbb51b95', '0567184d', 'bbb51b95', 'd38aa58d', '46003790', '0567184d', 'bbb51b95', 'd38aa58d', '46003790', '0567184d', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '3d91fa85', '4dec0816']",Anomaly,17
blk_8225451996519902271,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', 'd38aa58d', '46003790', '32777b38']",Anomaly,14
blk_-234108381077576240,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'c294d20f', '5d5de21c']",Anomaly,14
blk_3374227455545153867,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '32777b38', '32777b38']",Normal,15
blk_-186449692016201490,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '728076ac', '5d5de21c', '40651754', 'bbb51b95', '44614d71', '9c784e29', '5d5de21c', 'dba996ef', 'a333d363', '4dec0816']",Anomaly,22
blk_-8827241248659820651,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_1184937207769229950,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_-6586629928697801209,"['bbb51b95', '3d91fa85']",Anomaly,2
blk_7790375293275694565,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_-2161661704397256256,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'a333d363', '4dec0816']",Normal,15
blk_7312277463356495568,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_7263944332659641248,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '54e5f6b4', '5d5de21c', '5d5de21c', '5d5de21c', '75627efd', 'bbb51b95', 'bbb51b95', '9c784e29', '44614d71', '44614d71', '5d5de21c', '5d5de21c', 'dba996ef', 'dba996ef', '4dec0816']",Anomaly,25
blk_-505554325408704436,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c']",Normal,13
blk_5821344169343581408,"['3d91fa85', 'bbb51b95']",Anomaly,2
blk_-3311125003506245365,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '4dec0816']",Normal,14
blk_-7930787044788345216,"['bbb51b95', '3d91fa85']",Anomaly,2
blk_1172699347545111308,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'a333d363', '4dec0816']",Normal,15
blk_-4912278485820109826,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '32777b38']",Normal,14
blk_-5083514250434443399,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c']",Normal,13
blk_-4512603236966427599,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_2749026664373761648,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '728076ac', '5d5de21c', '5d5de21c', '5d5de21c', '40651754', '9c784e29', '44614d71', 'bbb51b95', '5d5de21c', 'dba996ef', '4dec0816']",Anomaly,21
blk_-67897746448958425,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bcc910df']",Anomaly,4
blk_8147760841047876333,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'a333d363']",Anomaly,14
blk_-796016549069405026,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '728076ac', '5d5de21c', '5d5de21c', '5d5de21c', 'bbb51b95', '40651754', '9c784e29', '44614d71', '5d5de21c', 'dba996ef', '4dec0816']",Anomaly,21
blk_-5310726469277804405,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Normal,13
blk_-1813727135930452167,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '32777b38']",Normal,14
blk_-508643847748147883,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '32777b38', '32777b38', '32777b38', 'a333d363', 'a333d363', '4dec0816']",Normal,19
blk_7813615865800609642,"['3d91fa85', 'bbb51b95']",Anomaly,2
blk_7348442279129552341,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Normal,13
blk_944177728727281939,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_8980387200170994345,"['bbb51b95', 'd38aa58d', '46003790', 'bbb51b95', 'd38aa58d', '46003790', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '3d91fa85', '5d5de21c', '4dec0816']",Normal,14
blk_9197371713182649170,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790']",Anomaly,13
blk_4390216778664230147,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_-1307987978004975275,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c']",Normal,13
blk_-5945101305206459809,"['bbb51b95', '3d91fa85']",Anomaly,2
blk_348548634648842426,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', '0567184d', 'd38aa58d', '46003790', '0567184d', '0567184d', 'd38aa58d', 'd38aa58d', '46003790', '46003790', '5d5de21c', '4dec0816']",Anomaly,17
blk_1117528169624680467,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_8236385701919745468,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', 'a333d363']",Anomaly,14
blk_7427307448707327249,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '32777b38', '32777b38', '32777b38', 'a333d363']",Normal,17
blk_-8271180788744548110,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', 'd63ef163', 'd63ef163', 'd63ef163', 'dba996ef', 'dba996ef', '2e68ccc3', 'dba996ef']",Anomaly,20
blk_8817374089832812292,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_7936423389955810426,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', 'a333d363', '4dec0816', 'a333d363']",Anomaly,16
blk_636425395498108574,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c']",Anomaly,13
blk_3525346450481787118,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_7175945677757046854,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '728076ac', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '40651754', '5d5de21c', 'bbb51b95', '44614d71', '9c784e29', '5d5de21c', 'dba996ef', 'd63ef163', 'd63ef163', 'd63ef163', 'd63ef163', 'dba996ef', 'dba996ef', 'dba996ef', '2e68ccc3']",Anomaly,28
blk_-5854299953783556310,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_5365186434949144118,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Anomaly,13
blk_-401303441822095974,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', '728076ac', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c', '40651754', 'bbb51b95', '9c784e29', '44614d71', '5d5de21c', 'dba996ef', '4dec0816']",Anomaly,21
blk_-5215485930247594201,"['bbb51b95', '3d91fa85']",Anomaly,2
blk_-960128166330264164,"['3d91fa85', 'bbb51b95', 'bbb51b95', 'bbb51b95', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '32777b38']",Normal,14
blk_-6939842183623404569,"['bbb51b95', 'bbb51b95', 'bbb51b95', '3d91fa85', 'd38aa58d', '46003790', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', '5d5de21c']",Normal,13
blk_-649011853715397570,"['bbb51b95', 'bbb51b95', '3d91fa85', 'bbb51b95', 'd38aa58d', '46003790', '5d5de21c', 'd38aa58d', '46003790', '46003790', '5d5de21c', 'd38aa58d', '5d5de21c']",Normal,13
blk_8226794226769235122,"['bbb51b95', '3d91fa85', 'bbb51b95', 'bbb51b95', 'd38aa58d', '46003790', 'd38aa58d', '46003790', '5d5de21c', '5d5de21c', 'd38aa58d', '46003790', '5d5de21c']",Anomaly,13
