Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,184,2,2,76,172,38,38,38.0,0.0,86,86,86.0,0.0,1347826.08695652,21739.1304347826,61.3333333333,66.0176744011,133,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,40,40,10869.5652173913,10869.5652173913,38,86,57.2,26.2906827602,691.2,0,0,0,0,0,0,0,0,1,71.5,38.0,86.0,40,0,0,0,0,0,0,2,76,2,172,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
60229,3,2,0,37,0,37,0,18.5,26.1629509039,0,0,0.0,0.0,12333333.3333333,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.666666667,0.0,0,37,24.6666666667,21.36195996,456.3333333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,97,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
51383,4,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,40,0,500000.0,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,946,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,1574367,6,7,2078,967,1510,0,346.3333333333,605.0304675524,776,0,138.1428571429,287.2724772589,1934.1106616183,8.2572868969,131197.25,417540.637810398,1456217,1,48921,9784.2,12496.7906560044,23570,171,1551077,258512.833333333,587005.807276016,1456217,1,0,0,0,0,200,232,3.8110554909,4.446231406,0,1510,217.5,439.9684866337,193572.269230769,0,0,0,1,0,0,0,0,1,234.2307692308,346.3333333333,138.1428571429,200,0,0,0,0,0,0,6,2078,7,967,29200,65,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,115648087,26,23,3147,6386,435,0,121.0384615385,194.348034365,796,0,277.652173913,387.0605553628,82.4311084368,0.4236991832,2409335.14583333,4173806.18228983,9991775,73,115624578,4624983.12,4859088.05970144,10015278,99,115624440,5255656.36363636,4913711.3285096,10020147,463,0,0,0,0,544,604,0.2248199748,0.1988792084,0,796,190.66,305.6161798527,93401.2493877551,0,0,0,1,0,0,0,0,0,194.5510204082,121.0384615385,277.652173913,544,0,0,0,0,0,0,26,3147,23,6386,8192,300,24,20,572698.545454545,1077872.49577354,3338399,23479,9938626.72727273,90839.8553027151,9991775,9796835,BENIGN
80,31360,3,7,26,11607,20,0,8.666666667,10.26320288,4380,0,1658.142857,1762.272815,370950.2551,318.877551,3484.444444,6544.028845,15642,2,14984,7492.0,9726.960882,14370,614,31358,5226.333333,7613.054516,15642,15,0,0,0,0,72,152,95.66326531,223.2142857,0,4380,1057.545455,1599.303183,2557770.673,0,0,0,1,0,0,0,0,2,1163.3,8.666666667,1658.142857,72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
80,3203766,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.491183813,1.248530636,1067922.0,1849387.732,3203411,4,3203766,1067922.0,1849387.732,3203411,4,0,0.0,0.0,0,0,0,0,0,0,80,0,1.248530636,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
9535,43,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,139534.8837,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,23255.81395,23255.81395,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
80,5991959,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.66756131,1997319.667,3458693.593,5991075,92,5991959,2995979.5,4235704.677,5991075,884,0,0.0,0.0,0,0,0,0,0,0,104,40,0.500670983,0.166890328,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
443,118381357,23,30,1057,28151,343,0,45.9565217391,83.0637642586,1430,0,938.3666666667,650.7103006733,246.728038436,0.4477056299,2276564.55769231,11425970.6797522,58929748,1,118381357,5380970.77272727,17313648.1625705,58966169,4,118147957,4074067.48275862,15210301.7609977,59010380,1,0,0,0,0,472,612,0.1942873488,0.2534182811,0,1430,540.8888888889,660.150602219,435798.817610063,0,0,0,1,0,0,0,0,1,551.0943396226,45.9565217391,938.3666666667,472,0,0,0,0,0,0,23,1057,30,28151,8192,360,22,20,219740.5,17057.5368825631,231802,207679,58854052.0,107050.309817394,58929748,58778356,BENIGN
15742,71,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,112676.0563,28169.01408,71.0,0.0,71,71,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,14084.50704,14084.50704,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
53,192,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,1156250.0,20833.3333333333,64.0,108.2543301674,189,1,1,1.0,0.0,1,1,2,2.0,0.0,2,2,0,0,0,0,40,40,10416.6666666667,10416.6666666667,32,79,50.8,25.7429602027,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,40,0,0,0,0,0,0,2,64,2,158,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5130556,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.779642596,1710185.333,2961370.132,5129681,124,5130556,2565278.0,3626613.502,5129681,875,0,0.0,0.0,0,0,0,0,0,0,104,40,0.584731947,0.194910649,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
53,213,2,2,132,388,66,66,66.0,0.0,194,194,194.0,0.0,2441314.55399061,18779.3427230047,71.0,81.9573059587,162,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,9389.6713615024,9389.6713615024,66,194,117.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,146.5,66.0,194.0,64,0,0,0,0,0,0,2,132,2,388,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,119149862,20,22,1357,5364,402,0,67.85,104.461161254,2860,0,243.8181818182,620.0199410283,56.4079545472,0.352497261,2906094.19512195,12705135.1779328,58811942,1,119149862,6271045.36842105,18357465.571511,58895956,240,118900548,5661930.85714286,17551949.009596,58848610,1,0,0,0,0,424,452,0.1678558386,0.1846414224,0,2860,156.3023255814,453.2857573889,205467.977851606,0,0,0,1,0,0,0,0,1,160.0238095238,67.85,243.8181818182,424,0,0,0,0,0,0,20,1357,22,5364,8192,368,18,20,1133754.5,1271394.25602938,2032766,234743,58316460.5,700716.657204965,58811942,57820979,BENIGN
50759,3824,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,4707.1129707113,784.5188284519,1912.0,2698.3194770079,3820,4,3824,3824.0,0.0,3824,3824,0,0.0,0.0,0,0,0,0,0,0,40,20,523.0125523013,261.5062761506,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,17016,64240,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1443,42,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,142857.1429,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,23809.52381,23809.52381,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
443,30573707,12,11,842,5193,468,0,70.1666666667,140.1647299257,1460,0,472.0909090909,644.7924401768,197.3918308303,0.7522803826,1389713.95454545,3474208.43111021,10019517,7,30573559,2779414.45454545,4637930.51136203,10112009,230,30469717,3046971.7,4799434.02077585,10123442,48,0,0,0,0,260,232,0.3924941127,0.3597862699,0,1460,251.4583333333,483.0509001145,233338.172101449,0,0,0,1,0,0,0,0,0,262.3913043478,70.1666666667,472.0909090909,260,0,0,0,0,0,0,12,842,11,5193,29200,245,11,20,260653.0,271523.21332991,574181,103872,9930515.66666667,144411.602322436,10019517,9763893,BENIGN
443,1314984,8,10,1249,6315,693,0,156.125,250.2732435331,1509,0,631.5,719.9142310026,5752.1612430265,13.6883794784,77352.0,144545.683127342,598308,4,1184835,169262.142857143,202307.173981735,598308,162,1194368,132707.555555556,248006.117997173,769221,4,0,0,0,0,172,208,6.0837242126,7.6046552658,0,1509,398.1052631579,590.4141573446,348588.877192982,0,0,0,1,0,0,0,0,1,420.2222222222,156.125,631.5,172,0,0,0,0,0,0,8,1249,10,6315,8192,5605,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,69421747,204,109,48783,183586,585,0,239.1323529,252.3465776,1869,0,1684.275229,415.6562832,3347.207612,4.508673629,222505.5994,452207.5062,4839753,4,69400000,341964.3498,523248.3851,4839753,444,69400000,642792.787,571483.6964,4840595,4,0,0,0,0,6536,3496,2.938560449,1.570113181,0,1869,740.0286624,759.3952461,576681.1398,0,0,0,1,0,0,0,0,0,742.3929712,239.1323529,1684.275229,6536,0,0,0,0,0,0,204,48783,109,183586,29200,1149,101,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
80,5151518,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.776470159,1717172.667,2973464.755,5150634,123,5151518,2575759.0,3641423.146,5150634,884,0,0.0,0.0,0,0,0,0,0,0,104,40,0.582352619,0.19411754,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
44196,348,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,34482.7586206897,5747.1264367816,348.0,0.0,348,348,348,348.0,0.0,348,348,0,0.0,0.0,0,0,0,0,0,0,40,0,5747.1264367816,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,135,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
58067,31946,2,1,6,0,6,0,3.0,4.2426406871,0,0,0.0,0.0,187.8169410881,93.908470544,15973.0,22569.4342419122,31932,14,31946,31946.0,0.0,31946,31946,0,0.0,0.0,0,0,0,0,0,0,52,32,62.6056470294,31.3028235147,0,6,1.5,3.0,9.0,0,0,0,0,1,0,0,0,0,2.0,3.0,0.0,52,0,0,0,0,0,0,2,6,1,0,71,33304,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57678,9040030,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1.3274292231,0.2212382039,9040030.0,0.0,9040030,9040030,9040030,9040030.0,0.0,9040030,9040030,0,0.0,0.0,0,0,0,0,0,0,40,0,0.2212382039,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,24820,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23370,1,1,52,180,52,52,52.0,0.0,180,180,180.0,0.0,9927.2571673085,85.5798031665,23370.0,0.0,23370,23370,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,42.7899015832,42.7899015832,52,180,94.6666666667,73.9008344563,5461.3333333333,0,0,0,0,0,0,0,0,1,142.0,52.0,180.0,20,0,0,0,0,0,0,1,52,1,180,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
