Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
64496,52776,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,56.8440200091,26388.0,36717.2267198927,52351,425,52776,52776.0,0.0,52776,52776,0,0.0,0.0,0,0,0,0,0,0,76,32,37.8960133394,18.9480066697,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,76,0,0,0,0,0,0,2,0,1,0,357,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0
47932,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,118,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,49277,1,1,40,127,40,40,40.0,0.0,127,127,127.0,0.0,3389.0050124805,40.586886377,49277.0,0.0,49277,49277,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,20.2934431885,20.2934431885,40,127,69.0,50.2294734195,2523.0,0,0,0,0,0,0,0,0,1,103.5,40.0,127.0,32,0,0,0,0,0,0,1,40,1,127,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
123,22238,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,4316.9349761669,89.9361453368,22238.0,0.0,22238,22238,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,44.9680726684,44.9680726684,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
50284,118,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,101694.915254237,16949.1525423729,118.0,0.0,118,118,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,8474.5762711864,8474.5762711864,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,111,16567,0,20,0.0,0.0,0,0,0.0,0.0,0,0
443,3788,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,3167.8986272439,527.9831045407,3788.0,0.0,3788,3788,3788,3788.0,0.0,3788,3788,0,0.0,0.0,0,0,0,0,0,0,40,0,527.9831045407,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
80,1048533,3,4,432,2278,426,0,144.0,244.2375892446,2266,0,569.5,1131.0035366877,2584.5633852249,6.675993984,174755.5,399394.772028253,989511,4,1018470,509235.0,679212.832882301,989511,28959,1019598,339866.0,587844.375572311,1018650,4,0,0,0,0,72,92,2.8611402788,3.8148537051,0,2266,338.75,792.6742710597,628332.5,0,0,0,1,0,0,0,0,1,387.1428571429,144.0,569.5,72,0,0,0,0,0,0,3,432,4,2278,8192,237,2,20,0.0,0.0,0,0,0.0,0.0,0,0
443,6040467,9,6,704,5457,517,0,78.2222222222,169.2769755296,2273,0,909.5,952.1751414525,1019.9542518815,2.4832517088,431461.928571429,1479631.69853995,5570279,3,6040467,755058.375,1946490.36045772,5570279,3,297745,59549.0,83376.1332066917,178847,50,0,0,0,0,192,132,1.4899510253,0.9933006835,0,2273,385.0625,702.769043973,493884.329166667,0,0,0,1,0,0,0,0,0,410.7333333333,78.2222222222,909.5,192,0,0,0,0,0,0,9,704,6,5457,8192,119,8,20,470143.0,0.0,470143,470143,5570279.0,0.0,5570279,5570279
56658,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,257,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
62744,17,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,705882.352941177,117647.058823529,17.0,0.0,17,17,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,58823.5294117647,58823.5294117647,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,126,253,0,20,0.0,0.0,0,0,0.0,0.0,0,0
53,24435,2,2,62,276,31,31,31.0,0.0,138,138,138.0,0.0,13832.6171475343,163.6996112134,8145.0,14064.2697641932,24385,3,47,47.0,0.0,47,47,3,3.0,0.0,3,3,0,0,0,0,64,40,81.8498056067,81.8498056067,31,138,73.8,58.6063136531,3434.7,0,0,0,0,0,0,0,0,1,92.25,31.0,138.0,64,0,0,0,0,0,0,2,62,2,276,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,100547737,18,16,781,5620,365,0,43.3888888889,96.4530601405,2021,0,351.25,663.9498475036,63.6613034861,0.3381478392,3046901.12121212,4666168.91615848,10086707,0,100547737,5914572.76470588,5086646.21719941,10117490,47,90557885,6037192.33333333,5090516.7227501,10117753,49,0,0,0,0,372,440,0.1790194443,0.1591283949,0,2021,182.8857142857,473.0332516249,223760.457142857,0,0,0,1,0,0,0,0,0,188.2647058824,43.3888888889,351.25,372,0,0,0,0,0,0,18,781,16,5620,8192,123,17,20,39402.6,26727.2951002861,115469,30783,10015371.1,35147.452859979,10086707,9958936
53,185,2,2,68,100,34,34,34.0,0.0,50,50,50.0,0.0,908108.108108108,21621.6216216216,61.6666666667,22.8108161479,88,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,40,40,10810.8108108108,10810.8108108108,34,50,40.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,50.5,34.0,50.0,40,0,0,0,0,0,0,2,68,2,100,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
54605,483,2,1,37,6,37,0,18.5,26.1629509039,6,6,6.0,0.0,89026.9151138716,6211.1801242236,241.5,132.2289680819,335,148,483,483.0,0.0,483,483,0,0.0,0.0,0,0,1,0,0,0,64,20,4140.7867494824,2070.3933747412,0,37,20.0,19.7821468333,391.3333333333,0,1,0,0,1,0,0,0,0,26.6666666667,18.5,6.0,64,0,0,0,0,0,0,2,37,1,6,31,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,30577,1,1,54,110,54,54,54.0,0.0,110,110,110.0,0.0,5363.5085194754,65.4086404814,30577.0,0.0,30577,30577,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.7043202407,32.7043202407,54,110,72.6666666667,32.3316150746,1045.3333333333,0,0,0,0,0,0,0,0,1,109.0,54.0,110.0,32,0,0,0,0,0,0,1,54,1,110,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,205,2,2,66,130,33,33,33.0,0.0,65,65,65.0,0.0,956097.56097561,19512.1951219512,68.3333333333,78.213383339,155,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,64,64,9756.0975609756,9756.0975609756,33,65,45.8,17.5271218402,307.2,0,0,0,0,0,0,0,0,1,57.25,33.0,65.0,64,0,0,0,0,0,0,2,66,2,130,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,54484,2,2,80,442,40,40,40.0,0.0,221,221,221.0,0.0,9580.7943616475,73.4160487483,18161.3333333333,31450.2898926756,54477,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,36.7080243741,36.7080243741,40,221,112.4,99.1377829084,9828.3,0,0,0,0,0,0,0,0,1,140.5,40.0,221.0,64,0,0,0,0,0,0,2,80,2,442,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
63653,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,10231,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
44542,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.666666667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,179,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,150,2,2,70,166,35,35,35.0,0.0,83,83,83.0,0.0,1573333.33333333,26666.6666666667,50.0,80.5419145539,143,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,13333.3333333333,13333.3333333333,35,83,54.2,26.2906827602,691.2,0,0,0,0,0,0,0,0,1,67.75,35.0,83.0,64,0,0,0,0,0,0,2,70,2,166,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,30492,1,1,50,66,50,50,50.0,0.0,66,66,66.0,0.0,3804.2765315493,65.5909746819,30492.0,0.0,30492,30492,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,40,32.7954873409,32.7954873409,50,66,55.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,83.0,50.0,66.0,40,0,0,0,0,0,0,1,50,1,66,-1,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0
46266,72,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27777.7777777778,72.0,0.0,72,72,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13888.8888888889,13888.8888888889,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,340,261,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,115779269,18,19,382,13424,286,0,21.2222222222,66.094901072,4380,0,706.5263157895,1239.2172873956,119.2441455128,0.319573619,3216090.80555556,4648475.89194747,10000109,1,115779269,6810545.23529412,4654679.52568382,10030603,199,110390119,6132784.38888889,5027916.52605164,10031088,50,0,0,0,0,372,524,0.1554682471,0.1641053719,0,4380,363.3157894737,932.7772279817,870073.357041252,0,0,0,1,0,0,0,0,1,373.1351351351,21.2222222222,706.5263157895,372,0,0,0,0,0,0,18,382,19,13424,8192,119,17,20,35800.9090909091,15997.805614862,84035,30806,9999666.27272727,182.8054107016,10000109,9999435
53,32416,2,2,76,332,38,38,38.0,0.0,166,166,166.0,0.0,12586.3770977295,123.3958538993,10805.3333333333,18633.9799649279,32322,46,46,46.0,0.0,46,46,48,48.0,0.0,48,48,0,0,0,0,40,64,61.6979269497,61.6979269497,38,166,89.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,111.5,38.0,166.0,40,0,0,0,0,0,0,2,76,2,332,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
61481,16922,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,177.2840089824,8461.0,11653.1197539543,16701,221,16922,16922.0,0.0,16922,16922,0,0.0,0.0,0,0,0,0,0,0,64,32,118.1893393216,59.0946696608,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,118,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,191,2,2,94,206,47,47,47.0,0.0,103,103,103.0,0.0,1570680.62827225,20942.4083769633,63.6666666667,104.212923063,184,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,80,80,10471.2041884817,10471.2041884817,47,103,69.4,30.6724632203,940.8,0,0,0,0,0,0,0,0,1,86.75,47.0,103.0,80,0,0,0,0,0,0,2,94,2,206,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0
56736,4,2,0,37,0,31,6,18.5,17.6776695297,0,0,0.0,0.0,9250000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,40,0,500000.0,0.0,6,31,22.6666666667,14.4337567297,208.3333333333,0,1,0,0,1,0,0,0,0,34.0,18.5,0.0,40,0,0,0,0,0,0,2,37,0,0,110,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,24825528,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,0.483373405,0.0805622342,24825528.0,0.0,24825528,24825528,24825528,24825528.0,0.0,24825528,24825528,0,0.0,0.0,0,0,0,0,0,0,40,0,0.0805622342,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
443,64064966,2,0,74,0,37,37,37.0,0.0,0,0,0.0,0.0,1.1550774881,0.0312183105,64064966.0,0.0,64064966,64064966,64064966,64064966.0,0.0,64064966,64064966,0,0.0,0.0,0,0,1,0,0,0,64,0,0.0312183105,0.0,37,37,37.0,0.0,0.0,0,1,0,0,1,1,0,0,0,55.5,37.0,0.0,64,0,0,0,0,0,0,2,74,0,0,33304,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,116017806,17,15,438,2502,438,0,25.7647058824,106.2306037659,1448,0,166.8,446.4371976309,25.3409377523,0.2758197306,3742509.87096774,4915106.01131356,10220792,45,116017806,7251112.875,4637460.00882963,10244005,199,112720805,8051486.07142857,4349084.52398658,10243955,200,0,0,0,0,552,488,0.1465292319,0.1292904987,0,1448,89.0909090909,313.1262089434,98048.0227272727,0,0,0,1,0,0,0,0,0,91.875,25.7647058824,166.8,552,0,0,0,0,0,0,17,438,15,2502,29200,939,1,32,30525.5454545455,24139.6846059083,103309,23099,10216827.4545455,1798.736410019,10220792,10212834
59215,145,1,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,124137.931034483,27586.2068965517,48.3333333333,47.5008771849,96,1,0,0.0,0.0,0,0,49,24.5,33.2340187158,48,1,0,0,0,0,32,60,6896.5517241379,20689.6551724138,0,6,3.6,3.286335345,10.8,0,0,0,0,1,0,0,0,3,4.5,0.0,6.0,32,0,0,0,0,0,0,1,0,3,18,972,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,60352,1,1,66,129,66,66,66.0,0.0,129,129,129.0,0.0,3231.0445387063,33.1389183457,60352.0,0.0,60352,60352,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,44,16.5694591729,16.5694591729,66,129,87.0,36.3730669589,1323.0,0,0,0,0,0,0,0,0,1,130.5,66.0,129.0,32,0,0,0,0,0,0,1,66,1,129,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,30858,2,2,68,262,34,34,34.0,0.0,131,131,131.0,0.0,10694.1473847949,129.6260289066,10286.0,17809.8124358456,30851,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,64.8130144533,64.8130144533,34,131,72.8,53.129088078,2822.7,0,0,0,0,0,0,0,0,1,91.0,34.0,131.0,64,0,0,0,0,0,0,2,68,2,262,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
443,5910758,9,5,667,2725,342,0,74.1111111111,127.0260253299,1400,0,545.0,712.0519643959,573.8688675801,2.3685625431,454673.692307692,1581221.48432698,5716948,16,5910758,738844.75,2011641.030498,5716948,16,117430,29357.5,36542.0116441337,76183,214,0,0,0,0,200,108,1.5226473491,0.845915194,0,1400,226.1333333333,457.061244203,208904.980952381,0,0,0,1,0,0,0,0,0,242.2857142857,74.1111111111,545.0,200,0,0,0,0,0,0,9,667,5,2725,29200,11256,8,20,193794.0,0.0,193794,193794,5716948.0,0.0,5716948,5716948
443,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.666666667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.666666667,0.0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
58822,674,3,0,31,0,31,0,10.3333333333,17.8978583449,0,0,0.0,0.0,45994.0652818991,4451.0385756677,337.0,472.3473298326,671,3,674,337.0,472.3473298326,671,3,0,0.0,0.0,0,0,0,0,0,0,96,0,4451.0385756677,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.3333333333,10.3333333333,0.0,96,0,0,0,0,0,0,3,31,0,0,61,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,30847,1,1,50,66,50,50,50.0,0.0,66,66,66.0,0.0,3760.4953480079,64.8361266898,30847.0,0.0,30847,30847,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.4180633449,32.4180633449,50,66,55.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1,83.0,50.0,66.0,32,0,0,0,0,0,0,1,50,1,66,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
53,199,2,2,46,46,23,23,23.0,0.0,23,23,23.0,0.0,462311.557788945,20100.5025125628,66.3333333333,108.831674311,192,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,10050.2512562814,10050.2512562814,23,23,23.0,0.0,0.0,0,0,0,0,0,0,0,0,1,28.75,23.0,23.0,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,314,2,2,58,506,29,29,29.0,0.0,253,253,253.0,0.0,1796178.34394904,12738.8535031847,104.6666666667,175.2265200628,307,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,80,6369.4267515924,6369.4267515924,29,253,118.6,122.6898528812,15052.8,0,0,0,0,0,0,0,0,1,148.25,29.0,253.0,64,0,0,0,0,0,0,2,58,2,506,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,179,2,2,88,120,44,44,44.0,0.0,60,60,60.0,0.0,1162011.17318436,22346.3687150838,59.6666666667,97.2848052541,172,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,11173.1843575419,11173.1843575419,44,60,50.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,63.0,44.0,60.0,64,0,0,0,0,0,0,2,88,2,120,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
53,31678,4,4,184,416,46,46,46.0,0.0,104,104,104.0,0.0,18940.5896836922,252.5411957826,4525.4285714286,11833.514071725,31361,3,31495,10498.3333333333,18178.4505757046,31489,3,314,104.6666666667,140.507413802,265,3,0,0,0,0,80,80,126.2705978913,126.2705978913,46,104,71.7777777778,30.5686840483,934.4444444444,0,0,0,0,0,0,0,0,1,80.75,46.0,104.0,80,0,0,0,0,0,0,4,184,4,416,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0
51691,33,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,363636.363636364,60606.0606060606,33.0,0.0,33,33,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,30303.0303030303,30303.0303030303,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,335,16560,0,20,0.0,0.0,0,0,0.0,0.0,0,0
